GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ntbd,ntbd.tokenizer,LeftParenToken,4,6,0,0,2,2,2,2,2,2
ntbd,ntbd.tokenizer,MultToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,DivToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,NumToken,8,18,2,2,2,4,4,2,2,2
ntbd,ntbd.tokenizer,ColonEqualsToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,NotToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,TokenizerException,0,4,0,0,0,2,0,1,0,1
ntbd,ntbd.tokenizer,SymbolPair,0,9,0,0,0,4,0,1,0,1
ntbd,ntbd.tokenizer,UnderscoreToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,TrueToken,4,6,0,0,2,2,2,2,2,2
ntbd,ntbd.tokenizer,CommaToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,BooleanToken,10,0,0,0,4,0,4,0,4,0
ntbd,ntbd.tokenizer,EqualsToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,LessThanToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,VariableToken,9,19,2,2,2,5,4,2,2,2
ntbd,ntbd.tokenizer,Tokenizer,0,417,0,32,0,55,0,25,0,9
ntbd,ntbd.tokenizer,PeriodToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,SemiColonToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,FalseToken,4,6,0,0,2,2,2,2,2,2
ntbd,ntbd.tokenizer,AtomToken,9,19,2,2,2,5,4,2,2,2
ntbd,ntbd.tokenizer,PlusToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,RightSquareBracketToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,MoreThanToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,RightParenToken,4,6,0,0,2,2,2,2,2,2
ntbd,ntbd.tokenizer,IsToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,MinusToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,LeftSquareBracketToken,7,3,0,0,3,1,3,1,3,1
ntbd,ntbd.tokenizer,Tokenizer.new HashMap() {...},0,31,0,0,0,6,0,1,0,1
ntbd,ntbd,NTBD,35,0,2,0,11,0,5,0,4,0
